sale_id,day_id,pharmacy_id,product_id,volume_sold,sales_amount
1,1,4,4,0.0,0.0
2,2,32,9,0.78,12.55
3,2,18,8,5.02,78.91
4,2,87,4,2.2,37.84
5,3,12,18,1.46,24.03
6,3,55,19,0.27,4.54
7,3,4,2,0.27,4.44
8,4,28,3,0.08,1.35
9,4,65,8,2.69,42.29
10,4,4,20,1.23,21.16
11,5,26,18,1.29,21.23
12,5,54,18,0.02,0.33
13,5,58,8,3.69,58.01
14,6,36,19,0.0,0.0
15,7,98,1,4.28,68.87
16,7,90,6,0.57,10.23
17,7,44,14,0.48,8.62
18,8,20,9,1.08,17.38
19,8,98,7,1.94,35.54
20,8,14,11,3.98,66.98
21,9,49,3,1.52,25.58
22,9,46,4,0.93,16.0
23,9,78,12,2.55,43.86
24,10,104,9,0.79,12.71
25,10,94,2,1.81,29.79
26,10,69,15,2.4,43.97
27,11,119,4,0.51,8.77
28,11,11,13,1.3,22.84
29,11,38,18,0.19,3.13
30,12,114,20,3.18,54.7
31,12,74,12,3.95,67.94
32,12,91,7,0.21,3.85
33,13,6,3,4.72,79.44
34,13,99,8,0.94,14.78
35,13,11,10,0.34,5.6
36,14,111,8,1.49,23.42
37,14,49,4,1.69,29.07
38,14,59,9,0.82,13.19
39,15,21,12,1.35,23.22
40,15,46,12,0.38,6.54
41,15,86,7,4.27,78.23
42,16,90,9,0.83,13.35
43,16,78,3,0.19,3.2
44,16,69,6,0.98,17.59
45,17,21,8,0.01,0.16
46,17,49,15,0.88,16.12
47,17,119,9,0.11,1.77
48,18,29,18,2.14,35.22
49,18,108,11,0.74,12.45
50,18,30,2,1.45,23.87
51,19,104,2,1.06,17.45
52,19,52,11,0.27,4.54
53,19,9,9,4.67,75.14
54,20,117,7,0.46,8.43
55,20,113,19,0.86,14.47
56,20,28,11,0.68,11.44
57,21,51,16,1.79,28.14
58,21,19,15,5.02,91.97
59,21,18,9,0.19,3.06
60,22,96,8,1.33,20.91
61,22,69,18,0.28,4.61
62,22,96,9,2.39,38.46
63,23,55,19,0.89,14.98
64,23,52,19,0.57,9.59
65,23,29,12,3.21,55.21
66,24,66,5,1.7,29.87
67,24,12,16,1.27,19.96
68,24,111,2,3.03,49.87
69,25,20,4,0.36,6.19
70,25,102,6,3.79,68.03
71,25,77,14,0.18,3.23
72,26,50,3,3.12,52.51
73,26,77,13,1.06,18.62
74,26,68,15,0.16,2.93
75,27,71,9,0.01,0.16
76,27,88,1,3.47,55.83
77,27,88,4,2.52,43.34
78,28,97,18,2.44,40.16
79,28,99,9,2.75,44.25
80,28,15,11,0.14,2.36
81,29,56,10,0.52,8.56
82,29,59,6,0.15,2.69
83,29,93,1,2.35,37.81
84,30,65,9,0.68,10.94
85,30,65,6,0.28,5.03
86,30,112,4,0.04,0.69
87,31,108,10,0.78,12.84
88,31,78,17,0.82,13.19
89,31,20,7,2.73,50.01
90,32,98,12,1.85,31.82
91,32,70,6,3.98,71.44
92,32,118,17,1.17,18.83
93,33,77,1,0.23,3.7
94,33,63,11,2.23,37.53
95,33,15,1,2.54,40.87
96,34,113,12,0.37,6.36
97,34,31,10,0.66,10.86
98,34,31,2,0.3,4.94
99,35,11,19,1.68,28.27
100,35,94,3,1.26,21.21
101,35,105,16,0.06,0.94
102,36,98,3,0.33,5.55
103,36,99,18,0.09,1.48
104,36,17,5,2.91,51.13
105,37,71,16,0.29,4.56
106,37,34,6,0.54,9.69
107,37,112,17,1.83,29.44
108,38,55,20,0.43,7.4
109,38,119,7,0.79,14.47
110,38,97,18,2.11,34.73
111,39,92,7,1.52,27.85
112,39,52,10,0.47,7.74
113,39,57,12,2.01,34.57
114,40,58,17,0.2,3.22
115,40,32,4,2.96,50.91
116,40,9,8,1.84,28.92
117,41,3,11,2.14,36.02
118,41,71,19,4.38,73.72
119,41,76,8,3.48,54.71
120,42,1,8,0.58,9.12
121,42,91,3,6.25,105.19
122,42,30,2,2.17,35.72
123,43,116,3,1.66,27.94
124,43,111,2,2.28,37.53
125,43,10,11,0.39,6.56
126,44,31,17,0.5,8.04
127,44,86,9,1.11,17.86
128,44,28,16,2.39,37.57
129,45,17,18,0.46,7.57
130,45,74,19,0.54,9.09
131,45,32,16,0.0,0.0
132,46,104,16,0.0,0.0
133,47,25,14,3.48,62.47
134,47,13,4,2.63,45.24
135,47,46,14,1.23,22.08
136,48,53,14,0.28,5.03
137,48,111,15,0.89,16.3
138,48,87,2,6.17,101.56
139,49,8,4,0.56,9.63
140,49,94,13,1.04,18.27
141,49,103,11,1.73,29.12
142,50,32,4,0.43,7.4
143,50,25,7,3.42,62.65
144,50,58,18,3.15,51.85
145,51,55,5,1.3,22.84
146,51,36,6,3.09,55.47
147,51,32,15,1.61,29.5
148,52,57,3,1.79,30.13
149,52,13,18,0.2,3.29
150,52,84,2,5.01,82.46
151,53,108,18,0.65,10.7
152,53,12,1,0.05,0.8
153,53,22,8,0.3,4.72
154,54,63,14,5.93,106.44
155,54,28,16,0.68,10.69
156,54,116,13,0.39,6.85
